x,y,z,t
179.83333333333334,121.16666666666667,3.0,1.0
181.83333333333334,120.16666666666667,3.0,2.0
188.83333333333334,116.5,3.0,3.0
202.83333333333334,115.83333333333333,4.0,4.0
213.5,104.83333333333333,4.0,5.0
216.16666666666666,98.16666666666667,4.0,6.0
234.16666666666666,78.5,4.0,7.0
245.83333333333334,67.16666666666667,4.0,8.0
