x,y,z,t
154.16666666666666,196.5,3.0,1.0
155.83333333333334,196.16666666666666,3.0,2.0
152.16666666666666,196.83333333333334,2.0,3.0
154.16666666666666,204.83333333333334,3.0,4.0
154.5,213.83333333333334,3.0,5.0
155.5,225.5,3.0,6.0
147.16666666666666,237.83333333333334,4.0,7.0
139.5,262.1666666666667,4.0,8.0
