x,y,z,t
121.16666666666667,121.5,4.0,1.0
118.83333333333333,119.5,4.0,2.0
115.83333333333333,108.83333333333333,4.0,3.0
119.83333333333333,115.5,4.0,4.0
120.83333333333333,106.16666666666667,4.0,5.0
127.83333333333334,96.5,4.0,6.0
139.16666666666666,85.83333333333333,4.0,7.0
129.83333333333334,89.5,4.0,8.0
